File: /home/debasmita/Desktop/debasmita
#format table ## [Custom WaveView] saved 22:55:16 Wed Aug
XVAL par(x1:ids)
0.000E+00 1.957E-13
2.000E-01 2.354E-10
4.000E-01 2.489E-07
6.000E-01 1.026E-05
8.000E-01 3.684E-05
1.000E+00 7.040E-05
1.200E+00 1.056E-04
1.400E+00 1.405E-04
1.600E+00 1.736E-04
1.800E+00 2.040E-04
2.000E+00 2.310E-04
2.200E+00 2.535E-04
2.400E+00 2.707E-04
2.600E+00 2.816E-04
2.800E+00 2.857E-04
3.000E+00 2.829E-04
3.200E+00 2.742E-04
3.400E+00 2.612E-04
3.600E+00 2.455E-04
3.800E+00 2.288E-04
4.000E+00 2.121E-04
4.200E+00 1.961E-04
4.400E+00 1.812E-04
4.600E+00 1.676E-04
4.800E+00 1.552E-04
5.000E+00 1.440E-04
5.200E+00 1.339E-04
5.400E+00 1.247E-04
5.600E+00 1.165E-04
5.800E+00 1.091E-04
6.000E+00 1.024E-04
